ax,ay,az,gx,gy,gz,mx,my,mz
0.00,-0.01,1.00,-0.43,0.18,-0.24,-152.00,77.00,79.00
-0.00,-0.01,1.00,-0.31,0.18,-0.24,-149.00,77.00,83.00
0.00,-0.01,1.00,-0.24,0.18,-0.18,-152.00,79.00,85.00
0.00,-0.01,1.00,-0.31,0.18,-0.31,-153.00,77.00,85.00
0.00,-0.01,1.00,-0.55,0.12,-0.37,-150.00,77.00,86.00
-0.00,-0.01,1.00,-0.55,0.12,-0.24,-152.00,76.00,83.00
-0.00,-0.01,1.00,-0.37,0.12,-0.12,-153.00,76.00,82.00
-0.00,-0.01,1.00,-0.43,0.18,-0.24,-153.00,78.00,80.00
0.00,-0.01,1.00,-0.43,0.18,-0.18,-153.00,79.00,85.00
0.00,-0.01,1.00,-0.49,0.12,-0.18,-153.00,77.00,80.00
0.00,-0.01,1.00,0.24,0.06,-0.18,-150.00,79.00,81.00
-0.00,-0.01,1.00,-0.31,0.12,-0.18,-152.00,76.00,79.00
0.00,-0.01,1.00,-0.49,0.12,-0.18,-153.00,80.00,84.00
0.00,-0.01,1.00,-0.79,0.18,-0.24,-150.00,77.00,83.00
0.00,-0.01,1.00,-0.55,0.24,-0.18,-151.00,77.00,83.00
0.00,-0.01,1.00,-0.49,0.18,-0.18,-152.00,76.00,80.00
0.00,-0.01,1.00,-0.43,0.12,-0.18,-151.00,77.00,83.00
0.00,-0.01,1.00,-0.49,0.18,-0.24,-153.00,76.00,82.00
-0.00,-0.01,1.00,-0.43,0.18,-0.24,-153.00,77.00,84.00
-0.00,-0.01,1.00,-0.37,0.12,-0.24,-153.00,77.00,83.00
0.00,-0.01,1.00,-0.31,0.18,-0.24,-152.00,78.00,84.00
0.00,-0.01,1.00,-0.61,0.24,-0.18,-152.00,77.00,81.00
0.00,-0.01,1.00,-0.31,0.18,-0.31,-148.00,78.00,88.00
0.00,-0.01,1.00,-0.43,0.24,-0.31,-152.00,78.00,77.00
0.00,-0.01,1.00,-0.31,0.24,-0.24,-150.00,77.00,83.00
0.00,-0.01,1.00,-0.37,0.12,-0.24,-152.00,76.00,77.00
-0.00,-0.01,1.00,-0.43,0.12,-0.18,-150.00,75.00,82.00
0.00,-0.01,1.00,-0.37,0.12,-0.24,-152.00,79.00,85.00
0.00,-0.01,1.00,-0.49,0.12,-0.24,-151.00,79.00,79.00
0.00,-0.01,1.00,-0.49,0.24,-0.12,-152.00,79.00,80.00
-0.00,-0.01,1.00,-0.49,0.12,-0.31,-150.00,77.00,85.00
0.00,-0.01,1.00,-0.55,0.12,-0.18,-152.00,77.00,81.00
0.00,-0.01,1.00,-0.43,0.18,-0.24,-153.00,77.00,81.00
-0.00,-0.01,1.00,-0.49,0.12,-0.18,-152.00,78.00,82.00
-0.00,-0.01,1.00,-0.31,0.12,-0.24,-151.00,78.00,80.00
0.00,-0.01,1.00,-0.49,0.18,-0.18,-152.00,78.00,79.00
0.00,-0.01,1.00,-0.43,0.12,-0.24,-153.00,79.00,85.00
0.00,-0.01,1.00,-0.43,0.18,-0.18,-149.00,77.00,81.00
0.00,-0.01,1.00,-0.31,0.12,-0.24,-151.00,78.00,80.00
0.00,-0.01,1.00,-0.31,0.18,-0.24,-154.00,79.00,85.00
0.00,-0.01,1.00,-0.43,0.18,-0.31,-152.00,78.00,77.00
0.00,-0.01,0.99,-0.79,0.12,-0.24,-153.00,77.00,82.00
0.00,-0.01,1.00,-0.43,0.18,-0.18,-149.00,78.00,81.00
0.00,-0.01,1.00,-0.37,0.12,-0.18,-151.00,79.00,86.00
-0.00,-0.01,1.00,-0.49,0.12,-0.24,-150.00,78.00,76.00
0.00,-0.01,1.00,-0.31,0.18,-0.18,-153.00,81.00,81.00
0.00,-0.01,1.00,-0.24,0.12,-0.18,-151.00,77.00,79.00
0.00,-0.01,1.00,-0.55,0.18,-0.12,-151.00,78.00,86.00
0.00,-0.01,1.00,-0.37,0.12,-0.18,-152.00,77.00,82.00
0.00,-0.01,1.00,-0.49,0.12,-0.18,-151.00,75.00,79.00
0.00,-0.01,1.00,-0.61,0.18,-0.24,-152.00,76.00,79.00
0.00,-0.01,1.00,-0.61,0.24,-0.24,-153.00,77.00,79.00
0.00,-0.01,1.00,-0.37,0.12,-0.18,-151.00,79.00,85.00
0.00,-0.01,1.00,-0.61,0.12,-0.18,-153.00,75.00,77.00
0.00,-0.01,1.00,-0.49,0.18,-0.18,-153.00,78.00,83.00
0.00,-0.01,1.00,-0.43,0.18,-0.18,-152.00,78.00,79.00
0.00,-0.01,1.00,-0.31,0.06,-0.12,-149.00,76.00,83.00
0.00,-0.01,1.00,-0.24,0.12,-0.24,-152.00,77.00,83.00
0.00,-0.01,1.00,-0.49,0.18,-0.18,-154.00,78.00,89.00
0.00,-0.01,1.00,-0.49,0.12,-0.12,-150.00,76.00,80.00
0.00,-0.01,1.00,-0.43,0.12,-0.18,-152.00,79.00,81.00
0.00,-0.01,1.00,-0.43,0.12,-0.18,-153.00,78.00,85.00
0.00,-0.01,1.00,-0.43,0.18,-0.18,-153.00,79.00,79.00
-0.00,-0.01,1.00,-0.37,0.18,-0.12,-153.00,76.00,87.00
-0.00,-0.01,1.00,-0.55,0.18,-0.18,-151.00,76.00,79.00
0.00,-0.01,1.00,-0.43,0.12,-0.24,-152.00,77.00,83.00
0.00,-0.01,1.00,-0.49,0.18,-0.12,-154.00,78.00,82.00
0.00,-0.01,1.00,-0.37,0.18,-0.24,-153.00,78.00,81.00
-0.00,-0.01,1.00,-0.43,0.12,-0.18,-151.00,77.00,82.00
0.00,-0.01,1.00,-0.43,0.24,-0.24,-150.00,77.00,81.00
0.00,-0.01,1.00,-0.49,0.18,-0.18,-152.00,77.00,84.00
0.00,-0.01,1.00,-0.55,0.18,-0.18,-152.00,76.00,86.00
0.00,-0.01,1.00,-0.61,0.18,-0.18,-150.00,77.00,81.00
0.00,-0.01,1.00,-0.55,0.18,-0.31,-152.00,77.00,82.00
0.00,-0.01,1.00,-0.49,0.06,-0.18,-149.00,79.00,84.00
0.00,-0.01,1.00,-0.55,0.18,-0.24,-152.00,80.00,82.00
0.00,-0.01,1.00,-0.61,0.18,-0.12,-150.00,76.00,85.00
0.00,-0.01,1.00,-0.61,0.18,-0.24,-150.00,78.00,84.00
0.00,-0.01,1.00,-0.24,0.18,-0.18,-152.00,78.00,82.00
0.00,-0.01,1.00,-0.37,0.12,-0.18,-151.00,79.00,79.00
0.00,-0.01,1.00,-0.31,0.06,-0.18,-149.00,77.00,84.00
0.00,-0.01,1.00,-0.31,0.12,-0.18,-150.00,78.00,85.00
0.00,-0.01,1.00,-0.61,0.18,-0.18,-151.00,77.00,83.00
0.00,-0.01,1.00,-0.18,0.18,-0.24,-152.00,77.00,81.00
0.00,-0.01,1.00,-0.18,0.12,-0.18,-152.00,78.00,82.00
0.00,-0.01,1.00,-0.49,0.18,-0.18,-152.00,75.00,80.00
-0.00,-0.01,1.00,-0.37,0.24,-0.24,-153.00,77.00,79.00
0.00,-0.01,1.00,-0.31,0.18,-0.18,-153.00,76.00,80.00
0.00,-0.01,1.00,-0.24,0.12,-0.18,-150.00,77.00,78.00
0.00,-0.01,1.00,-0.43,0.18,-0.18,-149.00,79.00,79.00
0.00,-0.01,1.00,-0.31,0.12,-0.12,-153.00,77.00,87.00
0.00,-0.01,1.00,-0.43,0.12,-0.18,-150.00,77.00,82.00
0.00,-0.01,1.00,-0.49,0.18,-0.18,-154.00,77.00,85.00
0.00,-0.01,1.00,-0.43,0.18,-0.18,-149.00,76.00,82.00
0.00,-0.01,1.00,-0.55,0.18,-0.31,-152.00,77.00,81.00
0.00,-0.01,1.00,-0.49,0.18,-0.24,-151.00,76.00,81.00
0.00,-0.01,1.00,-0.31,0.12,-0.18,-152.00,77.00,82.00
-0.00,-0.01,1.00,-0.43,0.18,-0.12,-152.00,77.00,82.00
0.00,-0.01,1.00,-0.49,0.18,-0.18,-152.00,78.00,81.00
-0.00,-0.01,1.00,-0.43,0.12,-0.12,-150.00,77.00,81.00
0.00,-0.01,1.00,-0.55,0.18,-0.18,-152.00,78.00,78.00
0.00,-0.01,1.00,-0.55,0.12,-0.18,-150.00,76.00,80.00
0.00,-0.01,1.00,-0.37,0.18,-0.18,-151.00,77.00,81.00
0.00,-0.01,1.00,-0.31,0.18,-0.24,-149.00,79.00,80.00
0.00,-0.01,1.00,-0.31,0.12,-0.24,-153.00,77.00,83.00
0.00,-0.01,1.00,-0.24,0.06,-0.18,-153.00,77.00,79.00
0.00,-0.01,1.00,-0.43,0.24,-0.31,-150.00,75.00,85.00
-0.00,-0.01,1.00,-0.06,0.12,-0.06,-154.00,78.00,84.00
0.00,-0.01,1.00,-0.24,0.12,-0.24,-150.00,78.00,82.00
0.00,-0.01,1.00,-0.18,0.18,-0.18,-152.00,77.00,82.00
0.00,-0.01,1.00,-0.18,0.12,-0.18,-150.00,74.00,86.00
-0.00,-0.01,1.00,-0.37,0.18,-0.18,-151.00,78.00,84.00
0.00,-0.01,1.00,-0.61,0.06,-0.24,-150.00,78.00,87.00
0.00,-0.01,1.00,-0.31,0.18,-0.18,-155.00,78.00,81.00
-0.00,-0.01,1.00,-0.24,0.18,-0.31,-152.00,77.00,82.00
-0.00,-0.01,1.00,-0.37,0.18,-0.18,-150.00,78.00,85.00
0.00,-0.01,1.00,-0.67,0.12,-0.18,-152.00,77.00,81.00
0.00,-0.01,1.00,-0.49,0.12,-0.18,-152.00,77.00,80.00
0.00,-0.01,1.00,-0.31,0.18,-0.18,-151.00,76.00,77.00
-0.00,-0.01,1.00,-0.67,0.12,-0.24,-152.00,78.00,84.00
-0.00,-0.01,1.00,-0.61,0.24,-0.18,-153.00,77.00,81.00
-0.00,-0.01,1.00,-0.18,0.18,-0.24,-152.00,77.00,80.00
0.00,-0.01,1.00,-0.31,0.12,-0.24,-152.00,77.00,81.00
0.00,-0.01,1.00,-0.31,0.18,-0.18,-151.00,79.00,84.00
0.00,-0.01,1.00,-0.49,0.12,-0.24,-153.00,76.00,83.00
0.00,-0.01,1.00,-0.37,0.12,-0.24,-152.00,78.00,78.00
0.00,-0.01,1.00,-0.49,0.12,-0.18,-152.00,77.00,79.00
0.00,-0.01,1.00,-0.49,0.24,-0.24,-151.00,76.00,79.00
0.00,-0.01,1.00,-0.31,0.12,-0.24,-151.00,76.00,78.00
0.00,-0.01,1.00,-0.37,0.24,-0.18,-152.00,78.00,83.00
0.00,-0.01,1.00,-0.31,0.24,-0.24,-150.00,75.00,80.00
0.00,-0.01,1.00,-0.37,0.12,-0.18,-149.00,79.00,83.00
0.00,-0.01,1.00,-0.18,0.18,-0.18,-152.00,79.00,82.00
0.00,-0.01,1.00,-0.37,0.12,-0.24,-151.00,77.00,80.00
0.00,-0.01,1.00,-0.31,0.12,-0.18,-152.00,77.00,82.00
0.00,-0.01,1.00,-0.43,0.18,-0.18,-150.00,77.00,77.00
0.00,-0.01,1.00,-0.37,0.18,-0.18,-150.00,77.00,80.00
0.00,-0.01,1.00,-0.31,0.18,-0.24,-151.00,76.00,89.00
-0.00,-0.01,1.00,-0.61,0.24,-0.18,-151.00,79.00,82.00
-0.00,-0.01,1.00,-0.43,0.18,-0.18,-152.00,77.00,80.00
0.00,-0.01,1.00,-0.49,0.18,-0.24,-152.00,78.00,81.00
0.00,-0.01,1.00,-0.43,0.18,-0.31,-151.00,78.00,82.00
0.00,-0.01,1.00,-0.49,0.18,-0.18,-152.00,78.00,85.00
0.00,-0.01,1.00,-0.55,0.18,-0.18,-150.00,76.00,83.00
0.00,-0.01,1.00,-0.49,0.18,-0.24,-151.00,79.00,82.00
0.00,-0.01,1.00,-0.61,0.24,-0.31,-152.00,75.00,77.00
0.00,-0.01,1.00,-0.31,0.12,-0.24,-151.00,76.00,85.00
0.00,-0.01,1.00,-0.43,0.12,-0.24,-153.00,76.00,82.00
0.00,-0.01,1.00,-0.49,0.18,-0.24,-153.00,76.00,80.00
0.00,-0.01,1.00,-0.43,0.12,-0.18,-150.00,78.00,86.00
0.00,-0.01,1.00,-0.24,0.12,-0.18,-152.00,77.00,81.00
0.00,-0.01,1.00,-0.43,0.12,-0.18,-152.00,76.00,82.00
0.00,-0.01,1.00,-0.61,0.18,-0.18,-150.00,78.00,80.00
0.00,-0.01,1.00,-0.37,0.06,-0.24,-152.00,78.00,79.00
-0.00,-0.01,1.00,-0.43,0.12,-0.18,-153.00,79.00,78.00
0.00,-0.01,1.00,-0.24,0.12,-0.18,-152.00,77.00,81.00
0.00,-0.01,1.00,-0.43,0.18,-0.24,-151.00,78.00,79.00
0.00,-0.01,1.00,-0.49,0.18,-0.18,-152.00,79.00,81.00
-0.00,-0.01,1.00,-0.37,0.12,-0.12,-150.00,78.00,81.00
0.00,-0.01,1.00,-0.24,0.18,-0.31,-150.00,76.00,79.00
0.00,-0.01,1.00,-0.49,0.18,-0.24,-151.00,78.00,79.00
0.00,-0.01,1.00,-0.55,0.18,-0.18,-151.00,78.00,81.00
-0.00,-0.01,1.00,-0.43,0.18,-0.18,-149.00,78.00,83.00
0.00,-0.01,1.00,-0.31,0.06,-0.18,-149.00,76.00,83.00
0.00,-0.01,1.00,-0.24,0.18,-0.18,-153.00,80.00,80.00
0.00,-0.01,1.00,-0.43,0.12,-0.31,-152.00,75.00,84.00
-0.00,-0.01,1.00,-0.49,0.06,-0.18,-150.00,77.00,81.00
0.00,-0.01,1.00,-0.55,0.18,-0.12,-153.00,79.00,82.00
0.00,-0.01,0.99,-0.49,0.18,-0.12,-150.00,78.00,80.00
0.00,-0.01,1.00,-0.55,0.18,-0.18,-152.00,76.00,79.00
-0.00,-0.01,1.00,-0.49,0.18,-0.18,-153.00,76.00,83.00
0.00,-0.01,1.00,-0.55,0.18,-0.24,-152.00,77.00,81.00
0.00,-0.01,1.00,-0.49,0.18,-0.18,-152.00,77.00,79.00
0.00,-0.01,1.00,-0.67,0.24,-0.24,-152.00,78.00,77.00
0.00,-0.01,1.00,-0.31,0.18,-0.18,-149.00,77.00,81.00
0.00,-0.01,1.00,-0.43,0.18,-0.18,-152.00,76.00,79.00
0.00,-0.01,1.00,-0.37,0.18,-0.24,-152.00,76.00,82.00
0.00,-0.01,1.00,-0.43,0.06,-0.18,-151.00,79.00,81.00
-0.00,-0.01,0.99,-0.37,0.06,-0.18,-150.00,76.00,78.00
0.00,-0.01,1.00,-0.55,0.18,-0.18,-153.00,78.00,81.00
-0.00,-0.01,1.00,-0.49,0.18,-0.18,-153.00,79.00,79.00
-0.00,-0.01,1.00,-0.31,0.12,-0.18,-151.00,77.00,83.00
-0.00,-0.01,1.00,-0.37,0.18,-0.24,-149.00,78.00,80.00
-0.00,-0.01,1.00,-0.24,0.18,-0.18,-152.00,79.00,83.00
0.00,-0.01,1.00,-0.37,0.06,-0.18,-150.00,77.00,80.00
0.00,-0.01,1.00,-0.55,0.24,-0.12,-152.00,76.00,82.00
-0.00,-0.01,1.00,-0.73,0.12,-0.06,-152.00,76.00,80.00
-0.00,-0.01,1.00,-0.55,0.12,-0.24,-153.00,78.00,77.00
0.00,-0.01,1.00,-0.85,0.24,-0.31,-151.00,76.00,84.00
0.00,-0.01,1.00,-0.43,0.24,-0.18,-151.00,78.00,81.00
0.00,-0.01,1.00,-0.61,0.12,-0.24,-151.00,76.00,81.00
-0.00,-0.01,1.00,-0.55,0.18,-0.18,-153.00,79.00,81.00
-0.00,-0.01,1.00,-0.49,0.18,-0.24,-150.00,78.00,80.00
0.00,-0.01,1.00,-0.37,0.12,-0.18,-150.00,78.00,81.00
0.00,-0.01,1.00,-0.43,0.24,-0.24,-151.00,77.00,82.00
0.00,-0.01,1.00,-0.43,0.18,-0.12,-152.00,76.00,81.00
0.00,-0.01,1.00,-0.43,0.12,-0.12,-154.00,79.00,81.00
0.00,-0.01,1.00,-0.49,0.18,-0.24,-150.00,76.00,83.00
0.00,-0.01,1.00,-0.43,0.18,-0.24,-151.00,76.00,77.00
-0.00,-0.01,1.00,-0.37,0.12,-0.24,-152.00,78.00,86.00
0.00,-0.01,1.00,-0.31,0.12,-0.18,-152.00,78.00,81.00
0.00,-0.01,1.00,-0.31,0.18,-0.18,-151.00,76.00,77.00
0.00,-0.01,1.00,-0.43,0.18,-0.18,-152.00,77.00,81.00
-0.00,-0.01,1.00,-0.49,0.18,-0.18,-150.00,78.00,83.00
0.00,-0.01,1.00,-0.24,0.18,-0.31,-150.00,78.00,84.00
-0.00,-0.01,1.00,-0.43,0.18,-0.24,-153.00,78.00,85.00
0.00,-0.01,1.00,-0.61,0.24,-0.24,-152.00,76.00,82.00
0.00,-0.01,1.00,-0.67,0.12,-0.24,-152.00,79.00,80.00
0.00,-0.01,1.00,-0.55,0.12,-0.24,-153.00,76.00,81.00
0.00,-0.01,1.00,-0.37,0.24,-0.24,-151.00,77.00,79.00
0.00,-0.01,1.00,-0.49,0.18,-0.24,-151.00,78.00,81.00
0.00,-0.01,1.00,-0.31,0.06,-0.12,-152.00,77.00,82.00
0.00,-0.01,1.00,-0.37,0.12,-0.18,-150.00,76.00,85.00
0.00,-0.01,1.00,-0.24,0.12,-0.18,-149.00,76.00,80.00
0.00,-0.01,1.00,-0.43,0.18,-0.24,-152.00,78.00,80.00
0.00,-0.01,1.00,-0.67,0.18,-0.18,-151.00,77.00,81.00
0.00,-0.01,1.00,-0.43,0.06,-0.12,-151.00,78.00,81.00
0.00,-0.01,1.00,-0.67,0.12,-0.18,-150.00,78.00,85.00
0.00,-0.01,1.00,-0.37,0.12,-0.24,-151.00,78.00,82.00
0.00,-0.01,1.00,-0.49,0.18,-0.24,-151.00,79.00,81.00
0.00,-0.01,1.00,-0.24,0.18,-0.18,-153.00,78.00,82.00
0.00,-0.01,1.00,-0.06,0.12,-0.12,-152.00,78.00,80.00
0.00,-0.01,1.00,-0.24,0.12,-0.24,-152.00,76.00,81.00
-0.00,-0.01,1.00,-0.12,0.18,-0.12,-149.00,77.00,79.00
-0.00,-0.01,1.00,-0.49,0.18,-0.24,-150.00,78.00,84.00
0.00,-0.01,1.00,-0.43,0.18,-0.24,-151.00,76.00,79.00
0.00,-0.01,1.00,-0.43,0.18,-0.24,-150.00,76.00,83.00
0.00,-0.01,1.00,-0.43,0.12,-0.24,-153.00,78.00,84.00
0.00,-0.01,1.00,-0.55,0.18,-0.24,-150.00,75.00,79.00
0.00,-0.01,1.00,-0.73,0.18,-0.24,-149.00,77.00,83.00
0.00,-0.01,1.00,-0.49,0.12,-0.18,-150.00,78.00,81.00
0.00,-0.01,1.00,-0.73,0.24,-0.31,-152.00,76.00,83.00
0.00,-0.01,1.00,-0.49,0.24,-0.18,-151.00,80.00,82.00
0.00,-0.01,1.00,-0.43,0.12,-0.24,-151.00,79.00,84.00
0.00,-0.01,1.00,-0.06,0.12,-0.18,-151.00,77.00,87.00
0.00,-0.01,1.00,-0.18,0.18,-0.18,-152.00,78.00,78.00
0.00,-0.01,1.00,-0.43,0.12,-0.24,-152.00,78.00,82.00
0.00,-0.01,1.00,-0.61,0.12,-0.18,-154.00,78.00,85.00
0.00,-0.01,1.00,-0.49,0.12,-0.24,-153.00,78.00,87.00
-0.00,-0.01,1.00,-0.49,0.12,-0.24,-150.00,78.00,77.00
0.00,-0.01,1.00,-0.55,0.18,-0.24,-153.00,78.00,81.00
0.00,-0.01,1.00,-0.61,0.18,-0.12,-152.00,75.00,77.00
0.00,-0.01,1.00,-0.06,0.18,-0.18,-151.00,78.00,81.00
-0.00,-0.01,1.00,-0.37,0.12,-0.24,-152.00,78.00,78.00
0.00,-0.01,1.00,-0.67,0.24,-0.18,-149.00,78.00,84.00
0.00,-0.01,1.00,-0.73,0.12,-0.18,-150.00,79.00,79.00
0.00,-0.01,1.00,-0.61,0.24,-0.18,-149.00,78.00,78.00
-0.00,-0.01,1.00,0.12,0.12,-0.18,-151.00,79.00,81.00
-0.00,-0.01,1.00,0.00,0.12,-0.12,-150.00,78.00,84.00
-0.00,-0.01,1.00,-0.31,0.18,-0.31,-151.00,78.00,82.00
0.00,-0.01,1.00,-1.04,0.18,-0.24,-151.00,77.00,82.00
0.00,-0.01,1.00,-1.04,0.18,-0.18,-152.00,79.00,83.00
-0.00,-0.01,1.00,-0.55,0.12,-0.18,-150.00,79.00,82.00
0.00,-0.01,1.00,-0.37,0.24,-0.18,-154.00,77.00,82.00
0.00,-0.01,1.00,-0.49,0.12,-0.18,-153.00,78.00,80.00
0.00,-0.01,1.00,-0.37,0.12,-0.24,-152.00,78.00,78.00
0.00,-0.01,1.00,-0.24,0.24,-0.24,-153.00,78.00,84.00
0.00,-0.01,1.00,-0.24,0.18,-0.18,-153.00,76.00,83.00
0.00,-0.01,1.00,-0.31,0.18,-0.24,-151.00,79.00,83.00
0.00,-0.01,1.00,-0.12,0.12,-0.18,-154.00,78.00,84.00
0.00,-0.01,1.00,-0.37,0.18,-0.12,-150.00,78.00,79.00
0.00,-0.01,1.00,-0.31,0.18,-0.18,-151.00,77.00,86.00
0.00,-0.01,1.00,-0.31,0.06,-0.18,-153.00,75.00,84.00
0.00,-0.01,1.00,-0.31,0.18,-0.31,-149.00,76.00,85.00
0.00,-0.01,1.00,-0.37,0.18,-0.24,-151.00,75.00,79.00
0.00,-0.01,1.00,-0.24,0.12,-0.18,-151.00,78.00,79.00
0.00,-0.01,1.00,-0.24,0.18,-0.12,-150.00,77.00,83.00
-0.00,-0.01,1.00,-0.43,0.12,-0.18,-152.00,76.00,83.00
-0.00,-0.01,1.00,-0.37,0.12,-0.12,-151.00,77.00,80.00
