ax,ay,az,gx,gy,gz,mx,my,mz
0.01,-0.02,-1.01,-0.43,0.12,-0.18,148.00,22.00,-153.00
0.01,-0.02,-1.01,-0.43,0.18,-0.24,148.00,22.00,-157.00
0.01,-0.02,-1.01,-0.31,0.24,-0.24,149.00,21.00,-158.00
0.01,-0.02,-1.01,-0.49,0.24,-0.18,150.00,21.00,-159.00
0.01,-0.02,-1.01,-0.31,0.18,-0.18,147.00,21.00,-159.00
0.01,-0.02,-1.01,-0.55,0.12,-0.24,148.00,21.00,-155.00
0.01,-0.02,-1.01,-0.49,0.12,-0.24,149.00,22.00,-156.00
0.01,-0.02,-1.01,-0.55,0.12,-0.24,149.00,21.00,-157.00
0.01,-0.02,-1.01,-0.18,0.12,-0.31,148.00,19.00,-154.00
0.01,-0.02,-1.01,-0.61,0.18,-0.31,149.00,20.00,-158.00
0.01,-0.02,-1.01,-0.24,0.12,-0.18,149.00,20.00,-153.00
0.01,-0.02,-1.01,-0.49,0.18,-0.24,148.00,21.00,-153.00
0.01,-0.02,-1.01,-0.43,0.24,-0.24,146.00,20.00,-155.00
0.01,-0.02,-1.01,-0.43,0.18,-0.24,150.00,20.00,-158.00
0.01,-0.02,-1.01,-0.24,0.18,-0.18,148.00,21.00,-156.00
0.01,-0.02,-1.01,-0.24,0.18,-0.31,148.00,21.00,-155.00
0.01,-0.02,-1.01,-0.24,0.24,-0.31,150.00,21.00,-153.00
0.01,-0.02,-1.01,-0.12,0.18,-0.24,147.00,23.00,-149.00
0.01,-0.02,-1.01,-0.49,0.12,-0.18,149.00,23.00,-154.00
0.01,-0.02,-1.01,-0.61,0.18,-0.24,149.00,22.00,-157.00
0.01,-0.02,-1.01,-0.67,0.12,-0.31,148.00,22.00,-157.00
0.01,-0.02,-1.01,-0.49,0.24,-0.24,148.00,20.00,-154.00
0.01,-0.02,-1.01,-0.43,0.24,-0.18,148.00,22.00,-155.00
0.01,-0.02,-1.01,-0.31,0.18,-0.18,147.00,21.00,-157.00
0.01,-0.02,-1.01,-0.61,0.18,-0.24,148.00,20.00,-156.00
0.01,-0.02,-1.01,-0.55,0.18,-0.24,149.00,22.00,-157.00
0.01,-0.02,-1.01,-0.43,0.12,-0.18,148.00,23.00,-152.00
0.01,-0.02,-1.01,-0.43,0.12,-0.24,147.00,21.00,-157.00
0.01,-0.02,-1.01,-0.49,0.12,-0.24,148.00,21.00,-154.00
0.01,-0.02,-1.01,-0.49,0.18,-0.18,149.00,19.00,-154.00
0.01,-0.02,-1.01,-0.43,0.12,-0.24,147.00,19.00,-154.00
0.01,-0.02,-1.01,-0.55,0.24,-0.24,149.00,22.00,-151.00
0.01,-0.02,-1.01,-0.43,0.18,-0.18,150.00,22.00,-153.00
0.01,-0.02,-1.01,-0.49,0.12,-0.31,151.00,21.00,-154.00
0.01,-0.02,-1.01,-0.43,0.18,-0.18,148.00,21.00,-153.00
0.01,-0.02,-1.01,-0.43,0.18,-0.24,148.00,21.00,-158.00
0.01,-0.02,-1.01,-0.37,0.12,-0.24,147.00,21.00,-158.00
0.01,-0.02,-1.01,-0.12,0.18,-0.24,149.00,20.00,-159.00
0.01,-0.02,-1.01,-0.37,0.18,-0.24,148.00,22.00,-156.00
0.01,-0.02,-1.01,-0.43,0.12,-0.24,149.00,21.00,-153.00
0.01,-0.02,-1.01,-0.49,0.12,-0.12,148.00,20.00,-154.00
0.01,-0.02,-1.01,-0.43,0.18,-0.18,148.00,21.00,-157.00
0.01,-0.02,-1.01,-0.55,0.18,-0.24,148.00,21.00,-154.00
0.01,-0.02,-1.01,-0.61,0.18,-0.24,147.00,21.00,-155.00
0.01,-0.02,-1.01,-0.18,0.18,-0.18,148.00,20.00,-160.00
0.01,-0.02,-1.01,-0.37,0.12,-0.24,149.00,21.00,-153.00
0.01,-0.02,-1.01,-0.49,0.18,-0.18,149.00,20.00,-160.00
0.01,-0.02,-1.01,-0.37,0.24,-0.24,146.00,19.00,-156.00
0.01,-0.02,-1.01,-0.31,0.18,-0.24,148.00,21.00,-155.00
0.01,-0.02,-1.01,-0.43,0.24,-0.24,149.00,21.00,-155.00
0.01,-0.02,-1.01,-0.37,0.18,-0.18,146.00,21.00,-158.00
0.01,-0.02,-1.01,-0.43,0.24,-0.18,147.00,20.00,-155.00
0.01,-0.02,-1.01,-0.37,0.12,-0.24,148.00,20.00,-154.00
0.01,-0.02,-1.01,-0.43,0.18,-0.12,146.00,19.00,-154.00
0.01,-0.02,-1.01,-0.49,0.12,-0.18,147.00,20.00,-155.00
0.01,-0.02,-1.01,-0.31,0.18,-0.18,146.00,22.00,-156.00
0.01,-0.02,-1.01,-0.43,0.12,-0.24,149.00,20.00,-153.00
0.01,-0.02,-1.01,-0.24,0.12,-0.24,149.00,21.00,-156.00
0.01,-0.02,-1.01,-0.37,0.06,-0.24,147.00,19.00,-157.00
0.01,-0.02,-1.01,-0.37,0.24,-0.18,149.00,21.00,-156.00
0.01,-0.02,-1.01,-0.31,0.06,-0.24,148.00,22.00,-155.00
0.01,-0.02,-1.01,-0.43,0.12,-0.18,149.00,20.00,-157.00
0.01,-0.02,-1.01,-0.43,0.12,-0.18,147.00,19.00,-159.00
0.01,-0.02,-1.01,-0.31,0.18,-0.18,151.00,23.00,-157.00
0.01,-0.02,-1.01,-0.43,0.24,-0.18,148.00,20.00,-157.00
0.01,-0.02,-1.01,-0.31,0.24,-0.18,147.00,20.00,-159.00
0.01,-0.02,-1.01,-0.43,0.18,-0.24,146.00,21.00,-156.00
0.01,-0.02,-1.01,-0.55,0.24,-0.24,149.00,21.00,-154.00
0.01,-0.02,-1.01,-0.49,0.18,-0.24,148.00,22.00,-154.00
0.01,-0.02,-1.01,-0.37,0.18,-0.12,149.00,21.00,-155.00
0.01,-0.02,-1.01,-0.43,0.24,-0.24,146.00,20.00,-157.00
0.01,-0.02,-1.01,-0.37,0.18,-0.24,151.00,23.00,-157.00
0.01,-0.02,-1.01,-0.37,0.24,-0.24,146.00,21.00,-156.00
0.01,-0.02,-1.01,-0.37,0.12,-0.18,148.00,22.00,-153.00
0.01,-0.02,-1.01,-0.43,0.12,-0.24,147.00,20.00,-161.00
0.01,-0.02,-1.01,-0.24,0.12,-0.12,148.00,22.00,-158.00
0.01,-0.02,-1.01,-0.49,0.12,-0.31,148.00,20.00,-159.00
0.01,-0.02,-1.01,-0.31,0.18,-0.31,148.00,22.00,-154.00
0.01,-0.02,-1.01,-0.43,0.18,-0.31,149.00,21.00,-153.00
0.01,-0.02,-1.01,-0.49,0.18,-0.18,149.00,20.00,-157.00
0.01,-0.02,-1.01,-0.43,0.12,-0.24,149.00,21.00,-152.00
0.01,-0.02,-1.01,-0.37,0.12,-0.18,148.00,20.00,-159.00
0.01,-0.02,-1.01,-0.49,0.12,-0.18,148.00,22.00,-152.00
0.01,-0.02,-1.01,-0.43,0.18,-0.24,147.00,21.00,-155.00
0.01,-0.02,-1.01,-0.24,0.18,-0.18,148.00,20.00,-151.00
0.01,-0.02,-1.01,-0.12,0.18,-0.24,147.00,21.00,-157.00
0.01,-0.02,-1.01,-0.31,0.18,-0.18,148.00,22.00,-151.00
0.01,-0.02,-1.01,-0.18,0.06,-0.18,149.00,19.00,-156.00
0.01,-0.02,-1.01,-0.37,0.18,-0.24,147.00,21.00,-154.00
0.01,-0.02,-1.01,-0.18,0.18,-0.24,149.00,21.00,-155.00
0.01,-0.02,-1.01,0.00,0.24,-0.18,149.00,20.00,-157.00
0.01,-0.02,-1.01,-0.43,0.18,-0.24,150.00,18.00,-158.00
0.01,-0.02,-1.01,-0.24,0.18,-0.18,150.00,21.00,-157.00
0.01,-0.02,-1.01,-0.43,0.12,-0.18,150.00,22.00,-155.00
0.01,-0.02,-1.01,-0.37,0.18,-0.24,150.00,20.00,-152.00
0.01,-0.02,-1.01,-0.31,0.18,-0.18,149.00,19.00,-156.00
0.01,-0.01,-1.01,-0.37,0.12,-0.24,149.00,21.00,-156.00
0.01,-0.02,-1.01,-0.37,0.12,-0.12,150.00,21.00,-154.00
0.01,-0.02,-1.01,-0.49,0.18,-0.18,150.00,23.00,-153.00
0.01,-0.02,-1.01,-0.43,0.12,-0.18,150.00,21.00,-156.00
0.01,-0.02,-1.01,-0.43,0.18,-0.24,145.00,21.00,-158.00
0.01,-0.02,-1.01,-0.37,0.24,-0.18,149.00,20.00,-156.00
0.01,-0.02,-1.01,-0.43,0.12,-0.18,148.00,21.00,-158.00
0.01,-0.02,-1.01,-0.55,0.12,-0.18,148.00,22.00,-150.00
0.01,-0.02,-1.01,-0.37,0.24,-0.24,150.00,20.00,-157.00
0.01,-0.02,-1.01,-0.24,0.18,-0.24,150.00,19.00,-155.00
0.01,-0.01,-1.01,-0.24,0.12,-0.18,147.00,21.00,-154.00
0.01,-0.02,-1.01,-0.37,0.18,-0.18,148.00,21.00,-155.00
0.01,-0.02,-1.01,-0.37,0.18,-0.24,150.00,20.00,-153.00
0.01,-0.02,-1.01,-0.24,0.12,-0.24,149.00,19.00,-152.00
0.01,-0.02,-1.01,-0.37,0.18,-0.24,149.00,21.00,-151.00
0.01,-0.02,-1.01,-0.43,0.18,-0.18,148.00,21.00,-151.00
0.01,-0.02,-1.01,-0.24,0.18,-0.18,149.00,22.00,-152.00
0.01,-0.02,-1.01,-0.55,0.18,-0.18,149.00,21.00,-154.00
0.01,-0.02,-1.01,-0.55,0.24,-0.24,150.00,21.00,-161.00
0.01,-0.02,-1.01,-0.31,0.18,-0.18,149.00,21.00,-156.00
0.01,-0.02,-1.01,-0.37,0.18,-0.18,148.00,20.00,-155.00
0.01,-0.01,-1.01,-0.43,0.18,-0.18,150.00,20.00,-156.00
0.01,-0.02,-1.01,-0.31,0.06,-0.18,150.00,20.00,-154.00
0.01,-0.02,-1.01,-0.37,0.18,-0.24,149.00,21.00,-157.00
0.01,-0.02,-1.01,-0.31,0.12,-0.18,148.00,20.00,-153.00
0.01,-0.02,-1.01,-0.43,0.18,-0.24,149.00,22.00,-156.00
0.01,-0.02,-1.01,-0.31,0.18,-0.24,150.00,21.00,-159.00
0.01,-0.02,-1.01,-0.43,0.24,-0.18,148.00,21.00,-159.00
0.01,-0.02,-1.01,-0.37,0.12,-0.18,145.00,22.00,-157.00
0.01,-0.01,-1.01,-0.31,0.00,-0.18,150.00,21.00,-153.00
0.01,-0.02,-1.01,-0.31,0.24,-0.24,151.00,23.00,-151.00
0.01,-0.02,-1.01,-0.12,0.06,-0.12,148.00,21.00,-156.00
0.01,-0.02,-1.01,-0.37,0.18,-0.24,149.00,21.00,-154.00
0.01,-0.02,-1.01,-0.37,0.24,-0.24,149.00,21.00,-155.00
0.01,-0.02,-1.01,-0.37,0.18,-0.24,147.00,21.00,-155.00
0.01,-0.02,-1.01,-0.31,0.12,-0.24,151.00,21.00,-156.00
0.01,-0.02,-1.01,-0.37,0.24,-0.18,149.00,22.00,-157.00
0.01,-0.02,-1.01,-0.55,0.18,-0.12,150.00,22.00,-157.00
0.01,-0.02,-1.01,-0.49,0.18,-0.24,148.00,21.00,-156.00
0.01,-0.02,-1.01,-0.49,0.12,-0.18,150.00,21.00,-157.00
0.01,-0.02,-1.01,-0.37,0.24,-0.18,149.00,20.00,-151.00
0.01,-0.02,-1.01,-0.37,0.18,-0.24,148.00,22.00,-153.00
0.01,-0.02,-1.01,-0.37,0.18,-0.18,148.00,21.00,-153.00
0.01,-0.02,-1.01,-0.37,0.24,-0.18,148.00,19.00,-159.00
0.01,-0.02,-1.01,-0.55,0.12,-0.12,150.00,21.00,-156.00
0.01,-0.02,-1.01,-0.37,0.18,-0.24,148.00,22.00,-156.00
0.01,-0.02,-1.01,-0.37,0.12,-0.24,148.00,22.00,-156.00
0.01,-0.02,-1.01,-0.37,0.18,-0.24,149.00,19.00,-152.00
0.01,-0.02,-1.01,-0.18,0.12,-0.18,149.00,21.00,-156.00
0.01,-0.02,-1.01,-0.43,0.18,-0.24,149.00,22.00,-157.00
0.01,-0.02,-1.01,-0.43,0.12,-0.24,148.00,22.00,-158.00
0.01,-0.02,-1.01,-0.31,0.24,-0.31,148.00,21.00,-151.00
0.01,-0.02,-1.01,-0.37,0.18,-0.24,150.00,19.00,-154.00
0.01,-0.02,-1.01,-0.31,0.12,-0.12,148.00,20.00,-154.00
0.01,-0.01,-1.01,-0.24,0.18,-0.18,150.00,22.00,-152.00
0.01,-0.02,-1.01,-0.43,0.24,-0.18,147.00,21.00,-157.00
0.01,-0.02,-1.01,-0.49,0.12,-0.24,149.00,20.00,-150.00
0.01,-0.02,-1.01,-0.43,0.12,-0.24,149.00,21.00,-154.00
0.01,-0.02,-1.01,-0.37,0.18,-0.18,150.00,19.00,-157.00
0.01,-0.02,-1.01,-0.43,0.18,-0.18,150.00,21.00,-155.00
0.01,-0.01,-1.01,-0.37,0.18,-0.18,148.00,19.00,-157.00
0.01,-0.02,-1.01,-0.43,0.18,-0.24,148.00,21.00,-154.00
0.01,-0.02,-1.01,-0.37,0.12,-0.06,149.00,19.00,-155.00
0.01,-0.02,-1.01,-0.37,0.12,-0.12,151.00,20.00,-153.00
0.01,-0.02,-1.01,-0.37,0.18,-0.24,149.00,21.00,-160.00
0.01,-0.02,-1.01,-0.37,0.18,-0.18,149.00,20.00,-156.00
0.01,-0.02,-1.01,-0.31,0.18,-0.24,148.00,21.00,-158.00
0.01,-0.02,-1.01,-0.49,0.18,-0.31,150.00,22.00,-151.00
0.01,-0.02,-1.01,-0.43,0.18,-0.18,146.00,19.00,-150.00
0.01,-0.02,-1.01,-0.43,0.12,-0.24,149.00,20.00,-156.00
0.01,-0.02,-1.01,-0.31,0.12,-0.24,148.00,21.00,-152.00
0.01,-0.02,-1.01,-0.55,0.12,-0.18,146.00,21.00,-155.00
0.01,-0.02,-1.01,-0.43,0.18,-0.18,148.00,21.00,-153.00
0.01,-0.01,-1.01,-0.31,0.18,-0.24,151.00,20.00,-157.00
0.01,-0.02,-1.01,-0.49,0.18,-0.24,148.00,20.00,-155.00
0.01,-0.02,-1.01,-0.31,0.12,-0.24,149.00,21.00,-158.00
0.01,-0.02,-1.01,-0.37,0.18,-0.18,148.00,20.00,-151.00
0.01,-0.02,-1.01,-0.24,0.18,-0.18,149.00,22.00,-154.00
0.01,-0.02,-1.01,-0.43,0.18,-0.24,149.00,21.00,-155.00
0.01,-0.02,-1.01,-0.37,0.18,-0.18,149.00,21.00,-155.00
0.01,-0.02,-1.01,-0.49,0.18,-0.24,148.00,21.00,-153.00
0.01,-0.02,-1.01,-0.37,0.12,-0.24,150.00,19.00,-158.00
0.01,-0.02,-1.01,-0.37,0.12,-0.18,149.00,19.00,-153.00
0.01,-0.02,-1.01,-0.31,0.18,-0.18,148.00,21.00,-157.00
0.01,-0.02,-1.01,-0.31,0.18,-0.12,147.00,22.00,-156.00
0.01,-0.02,-1.01,-0.37,0.12,-0.18,148.00,18.00,-154.00
0.01,-0.02,-1.01,-0.31,0.12,-0.18,148.00,20.00,-155.00
0.01,-0.02,-1.01,-0.37,0.18,-0.18,149.00,19.00,-158.00
0.01,-0.02,-1.01,-0.37,0.18,-0.24,149.00,22.00,-155.00
0.01,-0.02,-1.01,-0.18,0.12,-0.18,148.00,21.00,-156.00
0.01,-0.01,-1.01,-0.49,0.18,-0.18,148.00,21.00,-157.00
0.01,-0.02,-1.01,-0.37,0.18,-0.24,149.00,20.00,-157.00
0.01,-0.02,-1.01,-0.43,0.18,-0.24,149.00,21.00,-155.00
0.01,-0.02,-1.01,-0.37,0.12,-0.18,147.00,18.00,-155.00
0.01,-0.02,-1.01,-0.49,0.18,-0.24,149.00,21.00,-154.00
0.01,-0.02,-1.01,-0.43,0.18,-0.24,149.00,22.00,-161.00
0.01,-0.02,-1.01,-0.43,0.18,-0.18,148.00,20.00,-154.00
0.01,-0.02,-1.01,-0.49,0.24,-0.18,150.00,20.00,-161.00
0.01,-0.02,-1.01,-0.43,0.18,-0.18,148.00,21.00,-155.00
0.01,-0.02,-1.01,-0.37,0.12,-0.18,150.00,21.00,-153.00
0.01,-0.02,-1.01,-0.43,0.18,-0.18,148.00,20.00,-159.00
0.01,-0.02,-1.01,-0.37,0.18,-0.24,150.00,21.00,-159.00
0.01,-0.02,-1.01,-0.43,0.18,-0.24,150.00,20.00,-156.00
0.01,-0.02,-1.01,-0.49,0.12,-0.18,147.00,21.00,-157.00
0.01,-0.02,-1.01,-0.37,0.18,-0.24,150.00,21.00,-161.00
0.01,-0.02,-1.01,-0.31,0.18,-0.24,148.00,20.00,-158.00
0.01,-0.02,-1.01,-0.18,0.12,-0.12,150.00,22.00,-156.00
0.01,-0.02,-1.01,-0.31,0.18,-0.24,149.00,21.00,-156.00
0.01,-0.02,-1.01,-0.49,0.12,-0.24,149.00,22.00,-157.00
0.01,-0.02,-1.01,-0.43,0.24,-0.18,146.00,22.00,-157.00
0.01,-0.02,-1.01,-0.49,0.24,-0.24,149.00,21.00,-156.00
0.01,-0.02,-1.01,-0.37,0.18,-0.24,147.00,20.00,-151.00
0.01,-0.02,-1.01,-0.49,0.06,-0.18,149.00,20.00,-153.00
0.01,-0.02,-1.01,-0.37,0.12,-0.24,149.00,22.00,-153.00
0.01,-0.02,-1.01,-0.43,0.18,-0.06,148.00,21.00,-155.00
0.01,-0.02,-1.01,-0.49,0.18,-0.18,149.00,21.00,-156.00
0.01,-0.02,-1.01,-0.43,0.24,-0.24,149.00,20.00,-159.00
0.01,-0.02,-1.01,-0.67,0.18,-0.18,148.00,19.00,-159.00
0.01,-0.02,-1.01,-0.31,0.12,-0.24,153.00,21.00,-156.00
0.01,-0.02,-1.01,-0.61,0.24,-0.31,150.00,23.00,-155.00
0.01,-0.02,-1.01,-0.49,0.18,-0.24,150.00,22.00,-156.00
