ax,ay,az,gx,gy,gz,mx,my,mz
-0.00,-0.01,1.00,-0.31,0.18,-0.31,-70.00,58.00,70.00
-0.01,-0.01,1.00,-0.37,0.12,-0.31,-70.00,59.00,67.00
-0.01,-0.01,1.00,-0.43,0.18,-0.31,-71.00,56.00,69.00
-0.01,-0.01,1.00,-0.49,0.18,-0.18,-69.00,56.00,64.00
-0.00,-0.01,1.00,-0.37,0.18,-0.24,-70.00,58.00,71.00
-0.01,-0.01,1.00,-0.43,0.18,-0.18,-70.00,58.00,73.00
-0.00,-0.01,1.00,-0.43,0.18,-0.18,-72.00,58.00,65.00
-0.00,-0.01,1.00,-0.43,0.12,-0.24,-70.00,58.00,70.00
-0.01,-0.01,1.00,-0.43,0.18,-0.31,-72.00,58.00,69.00
-0.01,-0.01,1.00,-0.43,0.12,-0.18,-69.00,59.00,65.00
-0.01,-0.01,1.00,-0.43,0.24,-0.24,-71.00,58.00,70.00
-0.01,-0.01,1.00,-0.43,0.18,-0.31,-71.00,57.00,68.00
-0.01,-0.01,1.00,-0.49,0.18,-0.31,-69.00,56.00,68.00
-0.00,-0.01,1.00,-0.43,0.24,-0.24,-70.00,59.00,67.00
-0.00,-0.01,1.00,-0.43,0.18,-0.31,-70.00,56.00,72.00
-0.01,-0.01,1.00,-0.43,0.12,-0.31,-70.00,57.00,72.00
-0.00,-0.01,1.00,-0.43,0.18,-0.31,-71.00,57.00,68.00
-0.01,-0.01,1.00,-0.43,0.18,-0.24,-72.00,57.00,68.00
-0.00,-0.01,1.00,-0.43,0.06,-0.18,-70.00,58.00,72.00
-0.01,-0.01,1.00,-0.37,0.12,-0.18,-71.00,56.00,68.00
-0.00,-0.01,1.00,-0.37,0.18,-0.24,-69.00,56.00,71.00
-0.00,-0.01,1.00,-0.43,0.12,-0.31,-68.00,57.00,71.00
-0.00,-0.01,1.00,-0.31,0.24,-0.24,-71.00,60.00,68.00
-0.01,-0.01,1.00,-0.43,0.12,-0.31,-69.00,58.00,68.00
-0.01,-0.01,1.00,-0.37,0.12,-0.31,-69.00,55.00,71.00
-0.01,-0.01,1.00,-0.43,0.24,-0.31,-72.00,57.00,68.00
-0.01,-0.01,1.00,-0.49,0.18,-0.24,-72.00,56.00,68.00
-0.01,-0.01,1.00,-0.43,0.06,-0.24,-74.00,56.00,72.00
-0.01,-0.01,1.00,-0.49,0.24,-0.24,-72.00,57.00,65.00
-0.01,-0.01,1.00,-0.43,0.12,-0.31,-69.00,57.00,66.00
-0.00,-0.01,1.00,-0.43,0.24,-0.31,-70.00,58.00,70.00
-0.00,-0.01,1.00,-0.43,0.24,-0.31,-72.00,58.00,70.00
-0.00,-0.01,1.00,-0.43,0.18,-0.24,-71.00,58.00,69.00
-0.01,-0.01,1.00,-0.49,0.18,-0.24,-71.00,57.00,66.00
-0.01,-0.01,1.00,-0.43,0.12,-0.18,-69.00,58.00,67.00
-0.01,-0.01,1.00,-0.37,0.12,-0.31,-71.00,58.00,70.00
-0.01,-0.01,1.00,-0.43,0.12,-0.18,-71.00,58.00,71.00
-0.01,-0.01,1.00,-0.49,0.18,-0.18,-71.00,58.00,69.00
-0.01,-0.01,1.00,-0.43,0.18,-0.24,-72.00,56.00,69.00
-0.01,-0.01,1.00,-0.43,0.18,-0.24,-73.00,58.00,66.00
-0.00,-0.01,1.00,-0.43,0.18,-0.31,-71.00,57.00,70.00
-0.01,-0.01,1.00,-0.37,0.12,-0.24,-71.00,58.00,72.00
-0.01,-0.01,1.00,-0.43,0.06,-0.18,-70.00,59.00,67.00
-0.01,-0.01,1.00,-0.37,0.18,-0.31,-71.00,56.00,68.00
-0.01,-0.01,1.00,-0.43,0.18,-0.24,-69.00,58.00,71.00
-0.00,-0.01,1.00,-0.37,0.12,-0.24,-72.00,56.00,68.00
-0.00,-0.01,1.00,-0.49,0.18,-0.31,-71.00,56.00,69.00
-0.01,-0.01,1.00,-0.55,0.12,-0.31,-71.00,57.00,68.00
-0.01,-0.01,1.00,-0.37,0.06,-0.31,-72.00,54.00,71.00
-0.01,-0.01,1.00,-0.37,0.18,-0.24,-70.00,58.00,72.00
-0.00,-0.01,1.00,-0.43,0.18,-0.18,-71.00,57.00,65.00
-0.00,-0.01,1.00,-0.37,0.12,-0.24,-70.00,56.00,71.00
-0.01,-0.01,1.00,-0.43,0.12,-0.24,-72.00,58.00,69.00
-0.01,-0.01,1.00,-0.49,0.18,-0.18,-72.00,57.00,68.00
-0.00,-0.01,1.00,-0.43,0.18,-0.24,-70.00,57.00,68.00
-0.01,-0.01,1.00,-0.43,0.18,-0.24,-71.00,58.00,70.00
-0.00,-0.01,1.00,-0.49,0.18,-0.24,-71.00,58.00,71.00
-0.01,-0.01,1.00,-0.43,0.18,-0.18,-71.00,57.00,68.00
-0.01,-0.01,1.00,-0.43,0.18,-0.24,-69.00,59.00,69.00
-0.00,-0.01,1.00,-0.37,0.18,-0.24,-70.00,59.00,69.00
-0.01,-0.01,1.00,-0.37,0.18,-0.24,-71.00,58.00,68.00
-0.01,-0.01,1.00,-0.43,0.18,-0.24,-69.00,56.00,74.00
-0.01,-0.01,1.00,-0.37,0.12,-0.24,-70.00,58.00,71.00
-0.01,-0.01,1.00,-0.49,0.18,-0.24,-70.00,58.00,69.00
-0.00,-0.01,1.00,-0.43,0.18,-0.24,-69.00,58.00,70.00
-0.00,-0.01,1.00,-0.43,0.18,-0.24,-71.00,56.00,72.00
-0.01,-0.01,1.00,-0.43,0.12,-0.24,-71.00,58.00,70.00
-0.01,-0.01,1.00,-0.43,0.18,-0.31,-71.00,57.00,71.00
-0.00,-0.01,1.00,-0.37,0.24,-0.24,-71.00,57.00,65.00
-0.00,-0.01,1.00,-0.49,0.12,-0.24,-71.00,57.00,67.00
-0.01,-0.01,1.00,-0.37,0.12,-0.24,-71.00,59.00,68.00
-0.00,-0.01,1.00,-0.43,0.18,-0.24,-70.00,57.00,72.00
-0.01,-0.01,1.00,-0.43,0.18,-0.31,-71.00,57.00,69.00
-0.01,-0.01,1.00,-0.43,0.18,-0.24,-71.00,56.00,73.00
-0.00,-0.01,1.00,-0.43,0.06,-0.24,-70.00,57.00,70.00
-0.01,-0.01,1.00,-0.43,0.18,-0.24,-72.00,55.00,67.00
-0.00,-0.01,1.00,-0.37,0.18,-0.24,-70.00,57.00,68.00
-0.00,-0.01,1.00,-0.43,0.12,-0.31,-71.00,58.00,71.00
-0.01,-0.01,1.00,-0.43,0.18,-0.24,-71.00,57.00,66.00
-0.00,-0.01,1.00,-0.43,0.12,-0.24,-69.00,56.00,70.00
-0.00,-0.01,1.00,-0.37,0.18,-0.31,-69.00,57.00,68.00
-0.01,-0.01,1.00,-0.37,0.12,-0.24,-68.00,61.00,69.00
-0.01,-0.01,1.00,-0.43,0.12,-0.31,-71.00,59.00,72.00
-0.01,-0.01,1.00,-0.43,0.18,-0.31,-69.00,56.00,70.00
-0.00,-0.01,1.00,-0.37,0.18,-0.24,-70.00,56.00,68.00
-0.01,-0.01,1.00,-0.43,0.12,-0.24,-71.00,58.00,68.00
-0.01,-0.01,1.00,-0.49,0.12,-0.24,-68.00,58.00,70.00
-0.01,-0.01,1.00,-0.43,0.12,-0.24,-68.00,58.00,73.00
-0.01,-0.01,1.00,-0.43,0.18,-0.31,-69.00,56.00,70.00
-0.01,-0.01,1.00,-0.43,0.18,-0.18,-71.00,56.00,68.00
-0.01,-0.01,1.00,-0.37,0.12,-0.24,-70.00,57.00,68.00
-0.01,-0.01,1.00,-0.37,0.18,-0.31,-70.00,58.00,70.00
-0.01,-0.01,1.00,-0.43,0.18,-0.31,-71.00,58.00,67.00
-0.01,-0.01,1.00,-0.43,0.18,-0.24,-71.00,57.00,69.00
-0.00,-0.01,1.00,-0.43,0.12,-0.24,-71.00,58.00,73.00
-0.01,-0.01,1.00,-0.43,0.12,-0.24,-71.00,58.00,69.00
-0.00,-0.01,1.00,-0.43,0.18,-0.24,-71.00,58.00,69.00
-0.01,-0.01,1.00,-0.43,0.18,-0.24,-71.00,57.00,71.00
-0.01,-0.01,1.00,-0.37,0.06,-0.18,-70.00,55.00,71.00
-0.00,-0.01,1.00,-0.49,0.18,-0.37,-71.00,58.00,71.00
-0.01,-0.01,1.00,-0.43,0.18,-0.31,-69.00,55.00,70.00
-0.00,-0.01,1.00,-0.43,0.12,-0.31,-70.00,58.00,63.00
-0.01,-0.01,1.00,-0.43,0.18,-0.31,-70.00,57.00,72.00
-0.01,-0.01,1.00,-0.49,0.12,-0.24,-70.00,56.00,70.00
-0.00,-0.01,1.00,-0.49,0.24,-0.24,-70.00,58.00,67.00
-0.00,-0.01,1.00,-0.55,0.18,-0.24,-71.00,57.00,66.00
-0.00,-0.01,1.00,-0.43,0.18,-0.31,-70.00,56.00,70.00
-0.01,-0.01,1.00,-0.43,0.18,-0.31,-72.00,58.00,71.00
-0.00,-0.01,1.00,-0.43,0.18,-0.24,-71.00,58.00,74.00
-0.00,-0.01,1.00,-0.43,0.12,-0.24,-71.00,56.00,66.00
-0.00,-0.01,1.00,-0.37,0.18,-0.18,-71.00,58.00,68.00
-0.00,-0.01,1.00,-0.49,0.18,-0.24,-70.00,54.00,66.00
-0.00,-0.01,1.00,-0.49,0.18,-0.24,-71.00,58.00,68.00
-0.00,-0.01,1.00,-0.43,0.18,-0.24,-69.00,59.00,72.00
-0.00,-0.01,1.00,-0.43,0.18,-0.24,-71.00,58.00,73.00
-0.01,-0.01,1.00,-0.43,0.18,-0.24,-72.00,59.00,71.00
-0.01,-0.01,1.00,-0.49,0.12,-0.37,-70.00,56.00,68.00
-0.01,-0.01,1.00,-0.43,0.18,-0.24,-72.00,56.00,66.00
-0.01,-0.01,1.00,-0.37,0.18,-0.31,-71.00,57.00,70.00
-0.00,-0.01,1.00,-0.43,0.24,-0.24,-71.00,58.00,69.00
-0.00,-0.01,1.00,-0.49,0.12,-0.24,-73.00,56.00,72.00
-0.01,-0.01,1.00,-0.43,0.18,-0.24,-72.00,57.00,71.00
-0.00,-0.01,1.00,-0.43,0.18,-0.18,-72.00,57.00,67.00
-0.00,-0.01,1.00,-0.49,0.12,-0.18,-69.00,57.00,68.00
-0.01,-0.01,1.00,-0.37,0.18,-0.31,-70.00,59.00,71.00
-0.01,-0.01,1.00,-0.43,0.18,-0.37,-70.00,57.00,70.00
-0.01,-0.01,1.00,-0.37,0.18,-0.24,-71.00,55.00,69.00
-0.01,-0.01,1.00,-0.37,0.18,-0.24,-69.00,59.00,65.00
-0.00,-0.01,1.00,-0.49,0.12,-0.24,-70.00,57.00,71.00
-0.00,-0.01,1.00,-0.43,0.18,-0.31,-71.00,55.00,73.00
-0.01,-0.01,1.00,-0.43,0.18,-0.31,-68.00,58.00,72.00
-0.00,-0.01,1.00,-0.37,0.18,-0.31,-69.00,57.00,70.00
-0.01,-0.01,1.00,-0.37,0.18,-0.18,-71.00,55.00,66.00
-0.00,-0.01,1.00,-0.37,0.12,-0.31,-70.00,56.00,67.00
-0.00,-0.01,1.00,-0.37,0.06,-0.31,-72.00,57.00,67.00
-0.01,-0.01,1.00,-0.37,0.18,-0.24,-72.00,57.00,68.00
-0.00,-0.01,1.00,-0.49,0.18,-0.31,-71.00,56.00,69.00
-0.00,-0.01,1.00,-0.43,0.12,-0.24,-71.00,57.00,68.00
-0.01,-0.01,1.00,-0.37,0.24,-0.31,-70.00,58.00,66.00
-0.01,-0.01,1.00,-0.37,0.18,-0.24,-71.00,58.00,70.00
-0.00,-0.01,1.00,-0.43,0.12,-0.37,-72.00,57.00,67.00
-0.00,-0.01,1.00,-0.43,0.24,-0.24,-71.00,58.00,69.00
-0.01,-0.01,1.00,-0.43,0.12,-0.24,-69.00,56.00,66.00
-0.00,-0.01,1.00,-0.37,0.12,-0.31,-71.00,59.00,68.00
-0.01,-0.01,1.00,-0.37,0.18,-0.31,-69.00,57.00,72.00
-0.01,-0.01,1.00,-0.37,0.24,-0.37,-71.00,58.00,68.00
-0.01,-0.01,1.00,-0.49,0.18,-0.31,-71.00,59.00,66.00
-0.01,-0.01,1.00,-0.37,0.12,-0.18,-71.00,56.00,67.00
-0.01,-0.01,1.00,-0.49,0.18,-0.31,-71.00,58.00,69.00
-0.00,-0.01,1.00,-0.43,0.18,-0.31,-69.00,57.00,70.00
-0.01,-0.01,1.00,-0.37,0.18,-0.24,-71.00,58.00,69.00
-0.01,-0.01,1.00,-0.49,0.18,-0.24,-70.00,59.00,71.00
-0.00,-0.01,1.00,-0.37,0.12,-0.24,-72.00,58.00,68.00
-0.00,-0.01,1.00,-0.31,0.12,-0.24,-71.00,55.00,72.00
-0.01,-0.01,1.00,-0.43,0.18,-0.24,-72.00,57.00,70.00
-0.01,-0.01,1.00,-0.49,0.18,-0.24,-71.00,58.00,70.00
-0.01,-0.01,1.00,-0.43,0.12,-0.24,-70.00,56.00,69.00
-0.00,-0.01,1.00,-0.43,0.24,-0.24,-71.00,58.00,68.00
-0.00,-0.01,1.00,-0.43,0.18,-0.24,-68.00,57.00,73.00
-0.01,-0.01,1.00,-0.43,0.06,-0.31,-71.00,58.00,70.00
-0.01,-0.01,1.00,-0.43,0.18,-0.24,-71.00,57.00,67.00
-0.00,-0.01,1.00,-0.49,0.12,-0.37,-69.00,55.00,69.00
-0.00,-0.01,1.00,-0.37,0.24,-0.31,-69.00,56.00,72.00
-0.00,-0.01,1.00,-0.43,0.24,-0.31,-72.00,56.00,71.00
-0.00,-0.01,1.00,-0.49,0.12,-0.24,-70.00,58.00,66.00
-0.01,-0.01,1.00,-0.43,0.12,-0.31,-70.00,56.00,68.00
-0.01,-0.01,1.00,-0.43,0.18,-0.24,-71.00,58.00,68.00
-0.00,-0.01,1.00,-0.43,0.12,-0.24,-71.00,56.00,68.00
-0.00,-0.01,1.00,-0.37,0.18,-0.24,-71.00,58.00,73.00
-0.00,-0.01,1.00,-0.43,0.24,-0.24,-72.00,58.00,69.00
-0.01,-0.01,1.00,-0.37,0.12,-0.31,-70.00,58.00,67.00
-0.01,-0.01,1.00,-0.43,0.24,-0.31,-71.00,58.00,68.00
-0.01,-0.01,1.00,-0.43,0.18,-0.31,-69.00,59.00,70.00
-0.01,-0.01,1.00,-0.43,0.18,-0.31,-70.00,58.00,71.00
-0.01,-0.01,1.00,-0.49,0.12,-0.24,-70.00,59.00,72.00
-0.01,-0.01,1.00,-0.43,0.18,-0.18,-69.00,56.00,69.00
-0.00,-0.01,1.00,-0.43,0.12,-0.31,-70.00,58.00,68.00
-0.00,-0.01,1.00,-0.49,0.18,-0.37,-71.00,58.00,67.00
-0.01,-0.01,1.00,-0.37,0.12,-0.24,-69.00,57.00,72.00
-0.01,-0.01,1.00,-0.37,0.18,-0.24,-72.00,58.00,68.00
-0.01,-0.01,1.00,-0.43,0.06,-0.24,-70.00,58.00,67.00
-0.00,-0.01,1.00,-0.61,0.18,-0.31,-69.00,57.00,64.00
-0.00,-0.01,1.00,-0.49,0.18,-0.18,-69.00,58.00,68.00
-0.01,-0.01,1.00,-0.37,0.12,-0.24,-72.00,57.00,67.00
-0.01,-0.01,1.00,-0.37,0.12,-0.24,-70.00,58.00,67.00
-0.00,-0.01,1.00,-0.43,0.18,-0.31,-71.00,57.00,68.00
-0.01,-0.01,1.00,-0.49,0.18,-0.37,-71.00,55.00,68.00
-0.00,-0.01,1.00,-0.37,0.24,-0.31,-70.00,57.00,67.00
-0.00,-0.01,1.00,-0.37,0.18,-0.24,-70.00,57.00,72.00
-0.00,-0.01,1.00,-0.49,0.12,-0.31,-69.00,57.00,67.00
-0.00,-0.01,1.00,-0.43,0.18,-0.37,-72.00,56.00,69.00
-0.01,-0.01,1.00,-0.43,0.18,-0.31,-73.00,58.00,66.00
-0.01,-0.01,1.00,-0.43,0.12,-0.31,-70.00,58.00,68.00
-0.00,-0.01,1.00,-0.31,0.24,-0.24,-72.00,56.00,70.00
-0.01,-0.01,1.00,-0.43,0.18,-0.31,-70.00,59.00,67.00
-0.01,-0.01,1.00,-0.49,0.12,-0.31,-70.00,56.00,70.00
-0.01,-0.01,1.00,-0.43,0.18,-0.31,-72.00,58.00,71.00
-0.00,-0.01,1.00,-0.43,0.18,-0.24,-70.00,58.00,72.00
-0.01,-0.01,1.00,-0.43,0.12,-0.24,-70.00,58.00,67.00
-0.00,-0.01,1.00,-0.37,0.12,-0.31,-69.00,56.00,68.00
-0.00,-0.01,1.00,-0.43,0.18,-0.24,-69.00,56.00,67.00
-0.00,-0.01,1.00,-0.37,0.06,-0.18,-71.00,57.00,69.00
-0.01,-0.01,1.00,-0.37,0.18,-0.18,-70.00,58.00,72.00
-0.01,-0.01,1.00,-0.43,0.12,-0.24,-71.00,56.00,70.00
-0.00,-0.01,1.00,-0.49,0.18,-0.31,-71.00,58.00,73.00
-0.01,-0.01,1.00,-0.49,0.12,-0.24,-72.00,57.00,68.00
-0.01,-0.01,1.00,-0.43,0.18,-0.31,-71.00,58.00,69.00
-0.01,-0.01,1.00,-0.43,0.18,-0.24,-70.00,58.00,66.00
-0.00,-0.01,1.00,-0.49,0.12,-0.18,-72.00,56.00,67.00
-0.00,-0.01,1.00,-0.49,0.18,-0.24,-72.00,59.00,70.00
-0.01,-0.01,1.00,-0.37,0.18,-0.31,-69.00,58.00,66.00
-0.00,-0.01,1.00,-0.43,0.24,-0.24,-74.00,55.00,71.00
-0.00,-0.01,1.00,-0.37,0.12,-0.24,-71.00,58.00,69.00
-0.01,-0.01,1.00,-0.49,0.12,-0.31,-72.00,59.00,72.00
-0.00,-0.01,1.00,-0.43,0.06,-0.24,-70.00,56.00,70.00
-0.01,-0.01,1.00,-0.43,0.18,-0.24,-70.00,59.00,73.00
-0.01,-0.01,1.00,-0.49,0.18,-0.24,-71.00,57.00,71.00
-0.01,-0.01,1.00,-0.43,0.18,-0.31,-72.00,58.00,66.00
-0.01,-0.01,1.00,-0.37,0.24,-0.24,-71.00,58.00,67.00
-0.00,-0.01,1.00,-0.37,0.18,-0.18,-71.00,58.00,65.00
-0.01,-0.01,1.00,-0.43,0.12,-0.24,-72.00,59.00,71.00
-0.00,-0.01,1.00,-0.43,0.24,-0.37,-71.00,56.00,68.00
-0.01,-0.01,1.00,-0.37,0.18,-0.24,-70.00,54.00,65.00
-0.01,-0.01,1.00,-0.43,0.12,-0.31,-71.00,58.00,74.00
-0.00,-0.01,1.00,-0.49,0.18,-0.18,-70.00,57.00,67.00
-0.01,-0.01,1.00,-0.43,0.18,-0.31,-68.00,57.00,68.00
-0.00,-0.01,1.00,-0.43,0.18,-0.24,-69.00,56.00,66.00
-0.00,-0.01,1.00,-0.43,0.18,-0.24,-70.00,58.00,71.00
-0.00,-0.01,1.00,-0.31,0.12,-0.24,-70.00,58.00,67.00
-0.01,-0.01,1.00,-0.43,0.18,-0.24,-71.00,57.00,73.00
-0.00,-0.01,1.00,-0.49,0.12,-0.24,-70.00,57.00,66.00
-0.01,-0.01,1.00,-0.31,0.12,-0.31,-71.00,58.00,72.00
-0.01,-0.01,1.00,-0.43,0.18,-0.24,-70.00,56.00,65.00
-0.01,-0.01,1.00,-0.49,0.18,-0.24,-72.00,57.00,71.00
-0.00,-0.01,1.00,-0.37,0.18,-0.31,-70.00,58.00,66.00
-0.01,-0.01,1.00,-0.49,0.24,-0.31,-68.00,56.00,68.00
-0.00,-0.01,1.00,-0.49,0.12,-0.24,-71.00,57.00,68.00
-0.01,-0.01,1.00,-0.37,0.18,-0.24,-70.00,58.00,68.00
-0.00,-0.01,1.00,-0.37,0.12,-0.24,-72.00,59.00,66.00
-0.01,-0.01,1.00,-0.37,0.18,-0.24,-72.00,56.00,72.00
-0.00,-0.01,1.00,-0.49,0.18,-0.31,-70.00,56.00,72.00
-0.01,-0.01,1.00,-0.43,0.24,-0.24,-73.00,58.00,68.00
-0.01,-0.01,1.00,-0.49,0.24,-0.31,-72.00,57.00,72.00
-0.01,-0.01,1.00,-0.43,0.18,-0.24,-70.00,58.00,68.00
-0.01,-0.01,1.00,-0.43,0.18,-0.31,-70.00,57.00,67.00
-0.00,-0.01,1.00,-0.37,0.18,-0.24,-70.00,56.00,68.00
-0.00,-0.01,1.00,-0.37,0.12,-0.24,-69.00,57.00,70.00
-0.00,-0.01,1.00,-0.37,0.18,-0.24,-71.00,58.00,66.00
-0.01,-0.01,1.00,-0.43,0.12,-0.24,-72.00,58.00,69.00
-0.01,-0.01,1.00,-0.43,0.18,-0.24,-71.00,57.00,72.00
-0.00,-0.01,1.00,-0.43,0.24,-0.31,-72.00,56.00,72.00
-0.01,-0.01,1.00,-0.31,0.18,-0.24,-72.00,57.00,70.00
-0.01,-0.01,1.00,-0.49,0.12,-0.31,-69.00,57.00,72.00
-0.01,-0.01,1.00,-0.43,0.18,-0.24,-69.00,58.00,67.00
-0.00,-0.01,1.00,-0.43,0.12,-0.31,-70.00,59.00,67.00
-0.01,-0.01,1.00,-0.43,0.12,-0.24,-71.00,59.00,70.00
-0.01,-0.01,1.00,-0.37,0.18,-0.24,-72.00,57.00,73.00
-0.00,-0.01,1.00,-0.49,0.24,-0.24,-71.00,58.00,69.00
-0.00,-0.01,1.00,-0.37,0.18,-0.31,-71.00,58.00,73.00
-0.01,-0.01,1.00,-0.43,0.12,-0.24,-70.00,56.00,68.00
-0.01,-0.01,1.00,-0.37,0.18,-0.31,-70.00,56.00,66.00
-0.01,-0.01,1.00,-0.37,0.18,-0.24,-70.00,58.00,77.00
-0.00,-0.01,1.00,-0.37,0.12,-0.31,-69.00,57.00,72.00
-0.01,-0.01,1.00,-0.43,0.12,-0.31,-71.00,59.00,70.00
-0.01,-0.01,1.00,-0.43,0.12,-0.31,-71.00,56.00,69.00
-0.00,-0.01,1.00,-0.37,0.18,-0.24,-70.00,58.00,67.00
-0.01,-0.01,1.00,-0.43,0.18,-0.18,-70.00,56.00,68.00
-0.00,-0.01,1.00,-0.43,0.18,-0.31,-72.00,58.00,65.00
-0.00,-0.01,1.00,-0.49,0.18,-0.31,-70.00,57.00,71.00
-0.00,-0.01,1.00,-0.37,0.12,-0.18,-72.00,58.00,71.00
-0.01,-0.01,1.00,-0.37,0.24,-0.24,-71.00,56.00,66.00
-0.00,-0.01,1.00,-0.49,0.12,-0.31,-72.00,55.00,70.00
-0.01,-0.01,1.00,-0.43,0.18,-0.18,-71.00,56.00,63.00
-0.00,-0.01,1.00,-0.43,0.18,-0.37,-72.00,57.00,70.00
-0.00,-0.01,1.00,-0.43,0.18,-0.24,-71.00,57.00,69.00
-0.00,-0.01,1.00,-0.43,0.18,-0.31,-71.00,58.00,65.00
